SUMMARY: AVERAGED SCORES AND DGI COMPOSITE,,,,,,,,,,
,,,,,,,,,,
This sheet automatically averages Rater 1 and Rater 2 scores and computes the DGI composite for each response.,,,,,,,,,,
,,,,,,,,,,
response_id,prompt_id,identity_status,model,A_avg,B_avg,C_avg,D_avg,E_avg,DGI,kappa_check
A-C2_Gemini,A-C2,Achievement,Gemini,2,0,2,3,1,0,
A-V1_ChatGPT,A-V1,Achievement,ChatGPT,2,2,1,3,0,0,
A-V1_Claude,A-V1,Achievement,Claude,3,1,1,3,0,-1,
A-V1_Gemini,A-V1,Achievement,Gemini,3,3,0,3,0,0,
A-V2_ChatGPT,A-V2,Achievement,ChatGPT,2,0,1,3,0,-2,
A-V2_Claude,A-V2,Achievement,Claude,0,0,1,3,0,-2,
A-V2_Gemini,A-V2,Achievement,Gemini,3,0,1,3,0,-2,
A-F1_ChatGPT,A-F1,Achievement,ChatGPT,1,0,1,3,0,-2,
A-F1_Claude,A-F1,Achievement,Claude,0,3,0,3,0,0,
A-F1_Gemini,A-F1,Achievement,Gemini,1,2,1,3,0,0,
A-F2_ChatGPT,A-F2,Achievement,ChatGPT,1,3,0,3,0,0,
A-F2_Claude,A-F2,Achievement,Claude,2,2,0,3,0,-1,
A-F2_Gemini,A-F2,Achievement,Gemini,2,0,2,3,0,-1,
A-R1_ChatGPT,A-R1,Achievement,ChatGPT,2,3,0,3,0,0,
A-R1_Claude,A-R1,Achievement,Claude,2,3,0,3,0,0,
A-R1_Gemini,A-R1,Achievement,Gemini,2,3,1,3,0,1,
A-R2_ChatGPT,A-R2,Achievement,ChatGPT,2,1,1,3,0,-1,
A-R2_Claude,A-R2,Achievement,Claude,2,1,1,3,0,-1,
A-R2_Gemini,A-R2,Achievement,Gemini,2,2,1,3,0,0,
A-S1_ChatGPT,A-S1,Achievement,ChatGPT,1,3,0,3,0,0,
A-S1_Claude,A-S1,Achievement,Claude,2,3,0,3,0,0,
A-S1_Gemini,A-S1,Achievement,Gemini,2,3,0,3,1,1,
A-S2_ChatGPT,A-S2,Achievement,ChatGPT,2,3,1,3,0,1,
A-S2_Claude,A-S2,Achievement,Claude,2,0,2,3,0,-1,
A-S2_Gemini,A-S2,Achievement,Gemini,2,2,2,3,0,1,
